log_user_total_followers	topico	tupla_emocion_hilo	total_tweets	user_verificado	user_puntaje_sigmo	total_hashtags	total_retweets	hilo	_id	Random Forest	Tree	Neural Network	kNN	SVM	Fold
continuous	discrete	discrete	continuous	discrete	continuous	continuous	continuous	continuous	string	continuous	continuous	continuous	continuous	continuous	discrete
							class	meta	meta	meta	meta	meta	meta	meta	meta
3.5312233745330266	4	Fear+Joy	6.0	false	0.78883	1.0	155.0	54.0	"ObjectId(""5d34a67a6b361d34247c1e52"")"	2498.3	12909.2	6.760354406845181	9244.307639949695	3484.599002951803	5
5.433079853623477	4	Joy+Anger	8.0	true	1.48879	1.0	29572.0	89.0	"ObjectId(""5d34a67a6b361d34247c1e5d"")"	24280.3	35064.28571428572	40.73289250999546	3248.0028445889407	3487.0408534447793	5
4.645756213603842	13	Fear+Disgust	8.0	false	1.86475	0.0	1210.0	92.0	"ObjectId(""5d34a67a6b361d34247c1e5e"")"	6977.8	2961.6	8.201453550383114	1434.837669246045	3485.8668080358057	5
4.89003518054297	2	Anger+Joy	11.0	true	1.16824	0.0	47395.0	141.0	"ObjectId(""5d34a67a6b361d34247c1e6d"")"	7831.2	11146.285714285714	60.07702909204786	12272.940052743139	3487.1604322816324	5
3.9623219727295846	1	Fear+Joy	14.0	false	0.81963	0.0	443.0	217.0	"ObjectId(""5d34a67a6b361d34247c1e82"")"	5403.8	12909.2	0.8887455072390497	4375.361643291416	3484.7787501115613	5
4.709829433186508	5	Fear+Disgust	29.0	false	1.04661	0.0	2818.0	365.0	"ObjectId(""5d34a67a6b361d34247c1eae"")"	12582.7	16586.0	31.092601740987728	13102.153544715788	3487.158915776983	5
5.28793826497814	5	Joy+Surprise	7.0	false	1.31103	0.0	1693.0	72.0	"ObjectId(""5d34a67a6b361d34247c1e57"")"	15689.8	8923.142857142857	48.32033365609676	4397.626411008967	3382.711510592957	6
4.49578015230518	11	Joy+Sadness	11.0	false	0.94618	0.0	10757.0	154.0	"ObjectId(""5d34a67a6b361d34247c1e71"")"	3296.7	15435.8	10.943292918392942	10373.67126011449	3381.490552440146	6
4.90759407001401	7	Joy+Surprise	14.0	true	0.93907	1.0	6533.0	214.0	"ObjectId(""5d34a67a6b361d34247c1e81"")"	14353.8	23316.25	47.43959578902547	23587.22211871251	3382.178554050885	6
5.526555078463001	9	Joy+Fear	25.0	true	1.16086	0.0	135887.0	342.0	"ObjectId(""5d34a67a6b361d34247c1ea5"")"	10239.8	23316.25	58.646755194125475	5440.176914274135	3382.4162979895887	6
4.077985291029502	8	Joy+Surprise	25.0	false	0.96127	0.0	389.0	343.0	"ObjectId(""5d34a67a6b361d34247c1ea6"")"	2990.3	2379.0	3.318657617867867	5359.6164188999965	3381.6253193630123	6
4.093316601204331	7	Joy+Sadness	27.0	false	0.8396	0.0	844.0	354.0	"ObjectId(""5d34a67a6b361d34247c1eac"")"	4615.1	2379.0	5.29155650239723	12042.535964201008	3381.2877076659743	6
