log_user_total_followers	topico	tupla_emocion_hilo	total_tweets	user_verificado	user_puntaje_sigmo	total_hashtags	log_prt	hilo	_id	Random Forest	Tree	Neural Network	kNN	SVM	Fold
continuous	discrete	discrete	continuous	discrete	continuous	continuous	continuous	continuous	string	continuous	continuous	continuous	continuous	continuous	discrete
							class	meta	meta	meta	meta	meta	meta	meta	meta
4.6472753613043984	2	Fear+Joy	5.0	false	0.81818	4.0	1.8129133566428555	23.0	"ObjectId(""5d34a67a6b361d34247c1e46"")"	1.9459695012532598	1.7507708536494155	2.3453180066943635	1.4231721998972169	1.975077142645014	1
5.762533774767301	4	Sadness+Joy	6.0	true	1.41355	0.0	2.7520484478194387	36.0	"ObjectId(""5d34a67a6b361d34247c1e4c"")"	2.601418026951184	2.88824782424822	2.05152621948933	2.1371094816842793	2.9319646735569243	1
4.093316601204331	10	Joy+Fear	8.0	false	0.8396	0.0	2.173186268412274	83.0	"ObjectId(""5d34a67a6b361d34247c1e5b"")"	1.9116526863116803	1.7159148856997242	1.8157020388647607	1.9392075348112903	1.7417269490235625	1
5.122514046067324	4	Fear+Joy	12.0	false	1.06386	0.0	2.747411807886423	173.0	"ObjectId(""5d34a67a6b361d34247c1e77"")"	2.566315985686884	2.351199437686291	1.7788309605425274	3.0381987416583094	1.9081152887064532	1
5.660866426244061	11	Anger+Fear	15.0	true	1.31484	1.0	3.2195845262142546	221.0	"ObjectId(""5d34a67a6b361d34247c1e83"")"	2.871496111244212	3.3104392497787223	2.928558664622461	2.935846893085042	3.0774797959749143	1
4.582438376813906	7	Joy+Fear	33.0	false	1.30939	0.0	2.0969100130080562	376.0	"ObjectId(""5d34a67a6b361d34247c1eb2"")"	2.6152439625951307	2.4842306379485253	1.8206286076528075	2.396477623729864	2.324634708240176	1
4.439111542159727	4	Anger+Joy	5.0	false	1.00329	0.0	3.3602146132953523	32.0	"ObjectId(""5d34a67a6b361d34247c1e49"")"	1.8797757973177647	2.3263175629126134	4.119816977454813	2.34714188844792	2.94314567155787	2
6.4436471876458254	9	Joy+Surprise	8.0	true	1.82529	0.0	3.5234863323432277	76.0	"ObjectId(""5d34a67a6b361d34247c1e59"")"	2.9364565167933203	2.7596748434942557	3.1657559792019234	2.6709883990182997	2.918644359651029	2
2.4608978427565478	4	Joy+Sadness	11.0	false	0.63758	4.0	0.7781512503836436	157.0	"ObjectId(""5d34a67a6b361d34247c1e73"")"	0.45944367511267653	1.774512049956678	1.3418010203469861	1.3264812703359756	1.870445924276234	2
5.878659070603937	11	Joy+Fear	13.0	true	1.50679	0.0	3.2317243833285163	186.0	"ObjectId(""5d34a67a6b361d34247c1e79"")"	2.806252901220911	3.308704984476685	3.339751527599605	2.9466474980446984	2.9773376317718445	2
5.122514046067324	4	Joy+Fear	24.0	false	1.06386	0.0	1.9822712330395684	324.0	"ObjectId(""5d34a67a6b361d34247c1e9e"")"	2.393356025368574	2.504227552655662	2.592693269592441	2.338308085529515	2.3278860621249096	2
3.5199591807520685	6	Joy+Fear	25.0	false	0.88331	8.0	0.47712125471966244	340.0	"ObjectId(""5d34a67a6b361d34247c1ea3"")"	2.0083224406684863	1.774512049956678	1.46898583675073	1.3848328038626858	1.774857602972846	2
4.366049209800235	1	Joy+Fear	5.0	false	1.25513	1.0	1.414973347970818	34.0	"ObjectId(""5d34a67a6b361d34247c1e4a"")"	2.1537258346282204	2.0058174039785293	2.061369991633829	2.4156424401716103	1.9380396746094095	3
5.09702117816689	4	Joy+Surprise	6.0	false	1.27649	1.0	3.0718820073061255	40.0	"ObjectId(""5d34a67a6b361d34247c1e4d"")"	2.3525415755521757	2.983139750729313	2.9213635504339988	2.8595034565299753	2.4991045297393804	3
3.769820257763592	10	Fear+Joy	6.0	true	0.91459	0.0	1.4313637641589874	49.0	"ObjectId(""5d34a67a6b361d34247c1e51"")"	2.129432639610586	2.2723594767811197	1.0480824180400898	1.5041558159792932	2.276619261007931	3
5.66455548406029	4	Joy+Surprise	9.0	true	1.49786	0.0	1.9731278535996986	98.0	"ObjectId(""5d34a67a6b361d34247c1e60"")"	3.395816626376398	3.361478043241768	2.8588295680124998	3.138664357167082	3.0929649093048575	3
3.0136796972911926	2	Anger+Surprise	11.0	false	0.76908	0.0	2.57978359661681	156.0	"ObjectId(""5d34a67a6b361d34247c1e72"")"	1.9127720011425093	2.2723594767811197	1.6731627616517302	2.4296102295075364	2.3618663929138233	3
4.5501059993475925	13	Fear+Joy	23.0	false	1.33976	3.0	1.3222192947339193	315.0	"ObjectId(""5d34a67a6b361d34247c1e9a"")"	1.401209009973183	1.2056456804843287	1.3206184696450065	1.6359264067626083	1.9711642447145727	3
4.848866211494779	4	Joy+Fear	9.0	true	1.20683	0.0	2.807535028068853	120.0	"ObjectId(""5d34a67a6b361d34247c1e65"")"	2.9587174391215703	2.8790000608733184	1.5870468450542436	2.6177272857377387	2.4570461891891804	4
4.709829433186508	5	Joy+Fear	16.0	false	1.04661	0.0	2.45484486000851	246.0	"ObjectId(""5d34a67a6b361d34247c1e88"")"	2.2405174404600174	2.340480130105643	2.32896083690951	2.579810241140042	2.2941700033269052	4
4.5501059993475925	4	Joy+Fear	17.0	false	1.33976	3.0	1.2787536009528289	260.0	"ObjectId(""5d34a67a6b361d34247c1e8a"")"	1.2202971008031762	1.817540823110669	1.511819289791833	2.6293269133255284	1.9270227732568346	4
3.968015713993642	13	Surprise+Joy	19.0	false	1.21805	0.0	1.6720978579357175	273.0	"ObjectId(""5d34a67a6b361d34247c1e8e"")"	2.315655157965727	2.340480130105643	1.5843334108368405	2.2435374530008683	1.88414286066981	4
5.271860185582165	3	Joy+Fear	25.0	false	0.90634	0.0	2.519827993775719	341.0	"ObjectId(""5d34a67a6b361d34247c1ea4"")"	2.3617525168579716	2.3967162005084317	3.7403962772778248	2.0563025007672873	3.025490907842401	4
