log_user_total_followers	topico	tupla_emocion_hilo	total_tweets	user_verificado	user_puntaje_sigmo	total_hashtags	log_total_retweets	hilo	_id	Random Forest	Tree	Neural Network	kNN	SVM	Fold
continuous	discrete	discrete	continuous	discrete	continuous	continuous	continuous	continuous	string	continuous	continuous	continuous	continuous	continuous	discrete
							class	meta	meta	meta	meta	meta	meta	meta	meta
4.6472753613043984	2	Fear+Joy	5.0	false	0.81818	4.0	2.507855871695831	23.0	"ObjectId(""5d34a67a6b361d34247c1e46"")"	2.38091138878361	2.834908525232253	2.9837204423457746	2.143295307192878	2.9962365232646446	1
5.762533774767301	4	Sadness+Joy	6.0	true	1.41355	0.0	3.5293019977879805	36.0	"ObjectId(""5d34a67a6b361d34247c1e4c"")"	3.4551142656976572	3.776428350862599	2.8978454200168438	2.906957607438144	3.8431931670100967	1
4.093316601204331	10	Joy+Fear	8.0	false	0.8396	0.0	3.074084689028244	83.0	"ObjectId(""5d34a67a6b361d34247c1e5b"")"	3.3231824409854953	2.847095712824658	2.547964126327293	2.8258850730086476	2.456382170443295	1
5.122514046067324	4	Fear+Joy	12.0	false	1.06386	0.0	3.825685708021758	173.0	"ObjectId(""5d34a67a6b361d34247c1e77"")"	3.240547567521111	3.6632512320828257	2.7877299198949395	4.102526750439488	2.92835550363444	1
5.660866426244061	11	Anger+Fear	15.0	true	1.31484	1.0	4.395431240246918	221.0	"ObjectId(""5d34a67a6b361d34247c1e83"")"	4.318307631756174	4.464389361021231	3.7525730248737927	4.066055848001489	4.184627114591789	1
4.582438376813906	7	Joy+Fear	33.0	false	1.30939	0.0	3.6129956560323473	376.0	"ObjectId(""5d34a67a6b361d34247c1eb2"")"	3.0464598930190356	3.621512156363251	2.9756376213699474	3.8496466721639497	3.564807364975254	1
4.439111542159727	4	Anger+Joy	5.0	false	1.00329	0.0	4.058995093525416	32.0	"ObjectId(""5d34a67a6b361d34247c1e49"")"	3.2451391746005633	3.565762226676617	5.177985071912442	3.080544258439654	4.015926128115576	2
6.4436471876458254	9	Joy+Surprise	8.0	true	1.82529	0.0	4.426494995349033	76.0	"ObjectId(""5d34a67a6b361d34247c1e59"")"	3.583744965340241	3.6268961846024244	4.2647768512953945	3.5993376884845163	3.9520054455110865	2
2.4608978427565478	4	Joy+Sadness	11.0	false	0.63758	4.0	1.7558748556724915	157.0	"ObjectId(""5d34a67a6b361d34247c1e73"")"	1.5816942176132553	2.801992895857084	2.115352335917248	2.2899259542050374	2.9078803332753957	2
5.878659070603937	11	Joy+Fear	13.0	true	1.50679	0.0	4.345530558034622	186.0	"ObjectId(""5d34a67a6b361d34247c1e79"")"	4.257362676324127	4.471518029908703	4.129608512570899	4.10713497736674	4.049754170382055	2
5.122514046067324	4	Joy+Fear	24.0	false	1.06386	0.0	3.3602146132953523	324.0	"ObjectId(""5d34a67a6b361d34247c1e9e"")"	3.744522622141716	3.756345451028106	4.0960683640898665	3.7422945375756838	3.6234049590563973	2
3.5199591807520685	6	Joy+Fear	25.0	false	0.88331	8.0	1.7160033436347992	340.0	"ObjectId(""5d34a67a6b361d34247c1ea3"")"	2.6999352795058833	2.3314516995228245	2.519917665845179	2.724541752013295	2.8581685016250895	2
4.366049209800235	1	Joy+Fear	5.0	false	1.25513	1.0	2.093421685162235	34.0	"ObjectId(""5d34a67a6b361d34247c1e4a"")"	2.9261783021478713	2.9187063652442924	3.077084944018132	3.108728591397032	3.046033783622511	3
5.09702117816689	4	Joy+Surprise	6.0	false	1.27649	1.0	3.849849195605258	40.0	"ObjectId(""5d34a67a6b361d34247c1e4d"")"	3.69219986366109	4.075702101476952	3.885943814801429	3.6325354121907916	3.411357350020989	3
3.769820257763592	10	Fear+Joy	6.0	true	0.91459	0.0	2.1903316981702914	49.0	"ObjectId(""5d34a67a6b361d34247c1e51"")"	2.953351554001573	3.3078701357236855	1.7344787904299266	2.230414947339538	3.186299574416444	3
5.66455548406029	4	Joy+Surprise	9.0	true	1.49786	0.0	2.921166050637739	98.0	"ObjectId(""5d34a67a6b361d34247c1e60"")"	4.3571727675281196	4.4001511471323935	3.7260531350816426	4.068928107572862	4.038620479351881	3
3.0136796972911926	2	Anger+Surprise	11.0	false	0.76908	0.0	3.619823500457278	156.0	"ObjectId(""5d34a67a6b361d34247c1e72"")"	2.619095847825561	3.3078701357236855	2.0857053497535882	3.4868804898791272	3.3567333296592827	3
4.5501059993475925	13	Fear+Joy	23.0	false	1.33976	3.0	2.662757831681574	315.0	"ObjectId(""5d34a67a6b361d34247c1e9a"")"	2.3782758981243655	2.9187063652442924	2.258419550052833	2.988588596776991	3.0038984701154483	3
4.848866211494779	4	Joy+Fear	9.0	true	1.20683	0.0	3.761251074308663	120.0	"ObjectId(""5d34a67a6b361d34247c1e65"")"	3.9982304241959787	4.329544133681844	2.3839430339023453	3.5457287131510298	3.541830509887079	4
4.709829433186508	5	Joy+Fear	16.0	false	1.04661	0.0	3.658106835506393	246.0	"ObjectId(""5d34a67a6b361d34247c1e88"")"	3.6660317185311824	3.711998068295131	3.5627769510198837	3.781176622075824	3.5318371299323137	4
4.5501059993475925	4	Joy+Fear	17.0	false	1.33976	3.0	2.4899584794248346	260.0	"ObjectId(""5d34a67a6b361d34247c1e8a"")"	2.814789369890839	2.8371456992661273	2.2698716450405874	3.885007609088379	3.098933918388771	4
3.968015713993642	13	Surprise+Joy	19.0	false	1.21805	0.0	2.9429995933660407	273.0	"ObjectId(""5d34a67a6b361d34247c1e8e"")"	3.2237318163959365	3.711998068295131	2.624417987344036	3.519508085197981	3.1369732348634756	4
5.271860185582165	3	Joy+Fear	25.0	false	0.90634	0.0	3.9167170775988125	341.0	"ObjectId(""5d34a67a6b361d34247c1ea4"")"	3.847225867730407	3.65888415726816	4.9797546109653625	3.451333280335664	4.07575774462884	4
5.09702117816689	5	Joy+Fear	28.0	false	1.27649	0.0	4.315172357208987	360.0	"ObjectId(""5d34a67a6b361d34247c1ead"")"	3.9214197673859834	3.65888415726816	3.969068168514843	3.4889995964945815	3.683719409489775	4
