log_prt	log_pfv	hilo	Linear Regression	Fold
continuous	continuous	continuous	continuous	discrete
	class	meta	meta	meta
1.8129133566428555	1.8512583487190752	23.0	2.320661586650064	1
2.7520484478194387	3.081707270097349	36.0	3.196857588223911	1
2.173186268412274	2.806179973983887	83.0	2.6567896769892814	1
2.747411807886423	3.1209028176145273	173.0	3.1925316872878104	1
3.2195845262142546	3.7420177471401384	221.0	3.6330602669757246	1
2.0969100130080562	2.383815365980431	376.0	2.5856253145582384	1
3.3602146132953523	3.84279639517558	32.0	3.764312029242479	2
3.5234863323432277	4.1709947020363005	76.0	3.9230966903407953	2
0.7781512503836436	2.1398790864012365	157.0	1.2532093201805674	2
3.2317243833285163	3.785258633357701	186.0	3.639352987108879	2
1.9822712330395684	2.53655844257153	324.0	2.424237496295185	2
0.47712125471966244	1.3222192947339193	340.0	0.9604522761519131	2
1.414973347970818	2.2355284469075487	34.0	1.935321763280184	3
3.0718820073061255	3.244277120801843	40.0	3.5000781948603765	3
1.4313637641589874	1.9637878273455553	49.0	1.950800594296133	3
1.9731278535996986	2.7134905430939424	98.0	2.4624334103691794	3
2.57978359661681	2.767897616018091	156.0	3.0353488033166087	3
1.3222192947339193	1.4471580313422192	315.0	1.84772640879891	3
2.807535028068853	3.15896526038341	120.0	3.249540165690062	4
2.45484486000851	2.761927838420529	246.0	2.9191670114789106	4
1.2787536009528289	1.5797835966168101	260.0	1.8174947390953158	4
1.6720978579357175	2.2013971243204513	273.0	2.185949532107989	4
2.519827993775719	3.044539760392411	341.0	2.980038237323587	4
2.8686444383948255	3.173186268412274	360.0	3.3067827839133206	4
1.4313637641589874	1.1760912590556813	54.0	1.982524732600646	5
3.5678494505731067	4.070296518197765	89.0	3.9382771467272994	5
2.1818435879447726	2.6414741105040997	92.0	2.669518676185578	5
3.6344772701607315	4.114210528249993	141.0	3.9992686711896988	5
1.5185139398778875	2.1398790864012365	217.0	2.062302550742679	5
1.9912260756924949	2.2380461031287955	365.0	2.4950262084228196	5
2.385606273598312	2.8785217955012063	72.0	2.833025576971555	6
2.9907826918031377	3.3157604906657347	154.0	3.400932538001829	6
2.670245853074124	3.2814878879400813	214.0	3.1001357843529878	6
3.7352794480604565	4.338954252377607	342.0	4.099579870621272	6
1.2304489213782739	2.161368002234975	343.0	1.7490079555363711	6
1.505149978319906	1.8976270912904414	354.0	2.0067916988327363	6
3.959756672990995	4.372525382451559	24.0	4.294514839286908	7
1.6127838567197355	1.5440680443502757	27.0	2.142140281686997	7
3.1351326513767748	3.719911064198339	127.0	3.5382641697422863	7
1.9084850188786497	2.469822015978163	170.0	2.413323507019255	7
2.1172712956557644	2.812244696800369	277.0	2.6047983579402105	7
1.4471580313422192	1.6020599913279623	317.0	1.9902472515877303	7
2.53655844257153	2.8779469516291885	65.0	2.98591035687432	8
3.500373714353374	3.8768526476013436	135.0	3.898690386101043	8
2.7032913781186614	3.5224442335063197	230.0	3.143814571756086	8
2.3783979009481375	2.5634810853944106	272.0	2.836124616772257	8
0.0	0.7781512503836436	332.0	0.5836659049210882	8
1.3979400086720377	1.5185139398778875	42.0	1.9084983935501703	9
1.5314789170422551	2.2095150145426308	102.0	2.034678562101803	9
1.2304489213782739	2.1986570869544226	121.0	1.750237000795392	9
1.1139433523068367	1.6434526764861874	130.0	1.6401515393965145	9
3.118595365223762	3.5245259366263757	390.0	3.534336028129694	9
3.4263485737875077	3.6923180442592787	86.0	3.829301290607232	10
3.0674428427763805	3.473924693416157	168.0	3.4907752241503585	10
2.4533183400470375	2.996949248495381	263.0	2.911522416907493	10
2.77232170672292	3.137670537236755	280.0	3.212411886136777	10
2.130333768495006	2.629409599102719	351.0	2.6068778066759055	10
