log_total_retweets	log_total_favoritos	hilo	Linear Regression	Fold
continuous	continuous	continuous	continuous	discrete
	class	meta	meta	meta
2.507855871695831	2.5428254269591797	23.0	3.1111033301460083	1
3.5293019977879805	3.859738566197147	36.0	4.007674988960019	1
3.074084689028244	3.708505880955237	83.0	3.608109189834607	1
3.825685708021758	4.199672916720621	173.0	4.267825013461436	1
4.395431240246918	4.918014601192498	221.0	4.767917660425863	1
3.6129956560323473	3.9003124969837266	376.0	4.081136878028456	1
4.058995093525416	4.541728974850289	32.0	4.45492070945229	2
4.426494995349033	5.0740553933027845	76.0	4.79180478651517	2
1.7558748556724915	3.1789769472931693	157.0	2.3436697081763436	2
4.345530558034622	4.899147207217667	186.0	4.717585366035783	2
3.3602146132953523	3.914977472444331	324.0	3.8143545052609045	2
1.7160033436347992	2.693726948923647	340.0	2.307119827571569	2
2.093421685162235	2.932980821923198	34.0	2.7296564612285055	3
3.849849195605258	4.022222104507706	40.0	4.295009180956573	3
2.1903316981702914	2.7363965022766426	49.0	2.816024017833663	3
2.921166050637739	3.66661156841903	98.0	3.4673537963208294	3
3.619823500457278	3.808616035426992	156.0	4.090007069929281	3
2.662757831681574	2.798650645445269	315.0	3.237056783812131	3
3.761251074308663	4.112873001840459	120.0	4.211234673520036	4
3.658106835506393	3.965624967109243	246.0	4.119937093366866	4
2.4899584794248346	2.797959643737196	260.0	3.0859567236576257	4
2.9429995933660407	3.4774106879072515	273.0	3.48696368141917	4
3.9167170775988125	4.44213470499191	341.0	4.348844588153126	4
4.315172357208987	4.620125640113102	360.0	4.701535181928325	4
2.1931245983544616	1.9444826721501687	54.0	2.8595289216750763	5
4.470895383280216	4.973372652758981	89.0	4.8159429545590475	5
3.0831441431430524	3.5440680443502757	92.0	3.6239810511382085	5
4.675741690804246	5.155557683673317	141.0	4.991888749138875	5
2.6473829701146196	3.2830749747354715	217.0	3.249698757440867	5
3.4500950758716025	3.6972293427597176	365.0	3.939161120582026	5
3.228913405994688	3.722880610686939	72.0	3.7181440539073596	6
4.0317315399458264	4.356962310706225	154.0	4.424292143850795	6
3.8151791301394185	4.427437418644263	214.0	4.233815541379394	6
5.1331811067406905	5.736871973659002	342.0	5.3931124468168905	6
2.591064607026499	3.5560611590095323	343.0	3.157100783936188	6
2.926856708949692	3.325925955771466	354.0	3.452459024318917	6
4.6586694982061685	5.071473283787442	24.0	4.977000677445863	7
2.3010299956639813	2.2380461031287955	27.0	2.9435539893047253	7
4.134686992556854	4.719820007592092	127.0	4.525069629629774	7
2.9809119377768436	3.5481436374348454	170.0	3.5299471516290093	7
3.3925210899319325	4.09029333131011	277.0	3.8849570105815108	7
2.786041210242554	2.9523080096621253	317.0	3.3618725859063963	7
3.380934463330702	3.7225516620009587	65.0	3.850227828700351	8
4.500222748487298	4.876794976200701	135.0	4.908909947074479	8
3.878291949249796	4.698396356929269	230.0	4.320654870388177	8
3.655138434811382	3.841359470454855	272.0	4.109584462057011	8
0.47712125471966244	2.12057393120585	332.0	1.1036475599494753	8
2.161368002234975	2.290034611362518	42.0	2.7918615985303594	9
2.4727564493172123	3.1622656142980214	102.0	3.0662089206790033	9
2.167317334748176	3.15106325335375	121.0	2.7971032298717353	9
2.100370545117563	2.6324572921847245	130.0	2.738120076727468	9
4.731096984750186	5.137157811490028	390.0	5.055909194408628	9
4.329214765805725	4.595319822764699	86.0	4.709726895176382	10
4.146190073315927	4.552972237463008	168.0	4.546836748063587	10
3.681693392004564	4.227140825423186	263.0	4.1334393440142385	10
4.050186349675361	4.416157689632185	280.0	4.461394393513205	10
3.5424519473759766	4.043676585602717	351.0	4.009515849915141	10
