log_user_total_followers	topico	tupla_emocion_hilo	total_tweets	user_verificado	user_puntaje_sigmo	total_hashtags	promedio_rt	hilo	_id	Random Forest	Tree	Neural Network	kNN	SVM	Fold
continuous	discrete	discrete	continuous	discrete	continuous	continuous	continuous	continuous	string	continuous	continuous	continuous	continuous	continuous	discrete
							class	meta	meta	meta	meta	meta	meta	meta	meta
3.5312233745330266	4	Fear+Joy	6.0	false	0.78883	1.0	26.0	54.0	"ObjectId(""5d34a67a6b361d34247c1e52"")"	290.2	254.25	10.059419725843822	1729.7441972645183	239.6253236715245	5
5.433079853623477	4	Joy+Anger	8.0	true	1.48879	1.0	3696.0	89.0	"ObjectId(""5d34a67a6b361d34247c1e5d"")"	5607.7	2279.1428571428573	43.35662576189987	361.061891601122	242.39475389830974	5
4.645756213603842	13	Fear+Disgust	8.0	false	1.86475	0.0	151.0	92.0	"ObjectId(""5d34a67a6b361d34247c1e5e"")"	375.3	418.0	12.102820979515304	194.22980493922879	240.9297346691911	5
4.89003518054297	2	Anger+Joy	11.0	true	1.16824	0.0	4309.0	141.0	"ObjectId(""5d34a67a6b361d34247c1e6d"")"	1365.3	1126.5	66.36383791198993	1181.3192704513035	242.51603535740358	5
3.9623219727295846	1	Fear+Joy	14.0	false	0.81963	0.0	32.0	217.0	"ObjectId(""5d34a67a6b361d34247c1e82"")"	94.5	254.25	3.6619296662982896	299.7013694128747	239.87079925414528	5
4.709829433186508	5	Fear+Disgust	29.0	false	1.04661	0.0	97.0	365.0	"ObjectId(""5d34a67a6b361d34247c1eae"")"	196.6	527.8	9.891697751741459	468.32727234768436	241.11143397860823	5
5.28793826497814	5	Joy+Surprise	7.0	false	1.31103	0.0	242.0	72.0	"ObjectId(""5d34a67a6b361d34247c1e57"")"	831.6	860.4705882352941	36.27151888108737	709.622562311152	152.41374614971895	6
4.49578015230518	11	Joy+Sadness	11.0	false	0.94618	0.0	978.0	154.0	"ObjectId(""5d34a67a6b361d34247c1e71"")"	230.2	860.4705882352941	13.321556119515957	864.7226050095409	151.470394818269	6
4.90759407001401	7	Joy+Surprise	14.0	true	0.93907	1.0	467.0	214.0	"ObjectId(""5d34a67a6b361d34247c1e81"")"	1525.4	860.4705882352941	48.620859119599594	1679.0850854041928	152.03258270260577	6
5.526555078463001	9	Joy+Fear	25.0	true	1.16086	0.0	5435.0	342.0	"ObjectId(""5d34a67a6b361d34247c1ea5"")"	1142.4	860.4705882352941	52.70416291628849	219.1080957327556	151.76908847964148	6
4.077985291029502	8	Joy+Surprise	25.0	false	0.96127	0.0	16.0	343.0	"ObjectId(""5d34a67a6b361d34247c1ea6"")"	406.3	860.4705882352941	2.964367008810313	215.93323133347292	151.46698283349636	6
4.093316601204331	7	Joy+Sadness	27.0	false	0.8396	0.0	31.0	354.0	"ObjectId(""5d34a67a6b361d34247c1eac"")"	128.3	860.4705882352941	3.435773834935529	434.9110755387138	151.13908206183356	6
3.2821687783046416	2	Joy+Anger	5.0	false	0.82973	0.0	9114.0	24.0	"ObjectId(""5d34a67a6b361d34247c1e47"")"	208.6	261.2	36.76171390010148	1192.9586371429914	241.88020670941748	7
3.66228551572213	10	Joy+Fear	5.0	false	0.84691	0.0	40.0	27.0	"ObjectId(""5d34a67a6b361d34247c1e48"")"	154.9	261.2	1.9426325324349125	1091.762090075121	239.90897266493803	7
4.802807920361628	7	Disgust+Joy	10.0	true	1.20577	0.0	1364.0	127.0	"ObjectId(""5d34a67a6b361d34247c1e6a"")"	339.8	1202.5714285714287	32.49329605652804	2474.3684680518927	242.2893076554346	7
3.6104472214421213	1	Joy+Fear	12.0	false	0.8902	0.0	80.0	170.0	"ObjectId(""5d34a67a6b361d34247c1e76"")"	173.2	17.5	1.1360762730945941	672.912883795401	239.78985831607508	7
3.8521138608497614	4	Joy+Fear	19.0	false	1.18423	0.0	130.0	277.0	"ObjectId(""5d34a67a6b361d34247c1e90"")"	137.8	17.5	9.002211773653288	452.9284389436197	240.24045871692877	7
4.49464151028204	8	Anger+Sadness	23.0	false	0.81471	3.0	27.0	317.0	"ObjectId(""5d34a67a6b361d34247c1e9b"")"	263.1	403.625	-0.9765208050329954	46.42609917578222	240.57831896620615	7
3.9711366294768062	7	Joy+Fear	7.0	false	0.79609	0.0	343.0	65.0	"ObjectId(""5d34a67a6b361d34247c1e55"")"	231.4	283.125	9.127091411458675	95.24998083933869	149.02885376896515	8
6.984076268030144	9	Fear+Surprise	10.0	true	1.54606	0.0	3164.0	135.0	"ObjectId(""5d34a67a6b361d34247c1e6c"")"	2041.3	2355.1428571428573	80.76439116093144	1738.0990646291004	152.4064880525206	8
3.417471693203293	2	Sadness+Disgust	15.0	false	0.87166	0.0	504.0	230.0	"ObjectId(""5d34a67a6b361d34247c1e86"")"	1407.0	283.125	42.88944007586926	150.61853520291717	149.56590746433636	8
4.709829433186508	5	Joy+Fear	19.0	false	1.04661	0.0	238.0	272.0	"ObjectId(""5d34a67a6b361d34247c1e8d"")"	197.5	249.66666666666666	5.848013495739762	342.57221062507864	150.54724230272058	8
2.7481880270062002	4	Joy+Fear	25.0	false	0.87525	1.0	0.0	332.0	"ObjectId(""5d34a67a6b361d34247c1ea0"")"	163.1	283.125	9.176633039866239	54.27238180069494	148.10069816590573	8
4.660448051321295	4	Joy+Fear	6.0	true	0.96577	0.0	24.0	42.0	"ObjectId(""5d34a67a6b361d34247c1e4f"")"	269.0	1551.2	42.87352925115164	317.7794838807745	262.4009316788391	9
3.4653828514484184	4	Fear+Joy	9.0	false	0.74127	2.0	33.0	102.0	"ObjectId(""5d34a67a6b361d34247c1e62"")"	225.4	492.8	6.980307066998969	1428.0208187089565	259.7926145665387	9
4.366049209800235	0	Joy+Fear	9.0	false	1.25513	1.0	16.0	121.0	"ObjectId(""5d34a67a6b361d34247c1e66"")"	152.3	954.9038461538462	18.72538714893005	1349.3823092841296	260.34270786166286	9
4.76666561621731	9	Fear+Sadness	10.0	false	1.36473	3.0	12.0	130.0	"ObjectId(""5d34a67a6b361d34247c1e6b"")"	2768.9	954.9038461538462	41.0332224964917	469.0489171172019	261.9522436436739	9
4.586339708754249	4	Fear+Sadness	41.0	false	1.17787	0.0	1313.0	390.0	"ObjectId(""5d34a67a6b361d34247c1eb6"")"	51.6	178.71428571428572	6.571131475707112	113.09205802856559	260.31884015643107	9
4.356981400993131	3	Joy+Fear	8.0	true	0.91411	1.0	2668.0	86.0	"ObjectId(""5d34a67a6b361d34247c1e5c"")"	113.6	603.6363636363636	8.39604024263379	404.3128529582836	151.37408922063864	10
4.9276013093257225	4	Joy+Surprise	12.0	false	1.20034	0.0	1167.0	168.0	"ObjectId(""5d34a67a6b361d34247c1e75"")"	685.2	778.125	31.288311764197577	719.669639349547	150.0570714221978	10
4.8656605575536735	4	Fear+Anger	17.0	true	0.96141	0.0	283.0	263.0	"ObjectId(""5d34a67a6b361d34247c1e8b"")"	861.5	17.6	47.60560351449059	211.90842753000595	150.24243822261582	10
3.868115205327217	4	Joy+Fear	19.0	false	0.81472	1.0	591.0	280.0	"ObjectId(""5d34a67a6b361d34247c1e91"")"	19.2	17.6	9.026376388237994	168.3085756935966	147.7827594597531	10
5.122514046067324	4	Joy+Fear	26.0	false	1.06386	0.0	134.0	351.0	"ObjectId(""5d34a67a6b361d34247c1eaa"")"	974.6	778.125	10.571788824237256	220.4805882369261	148.79057179617018	10
