_id,hilo,topico,total_tweets,total_retweets,total_favoritos,promedio_rt,promedio_fv,total_hashtags,emocion_hilo_1,tupla_emocion_hilo,user_total_followers,user_puntaje_sigmo,user_verificado,log_prt,log_pfv,log_total_retweets,log_total_favoritos,rnd_user_puntaje_sigmo,log_user_total_followers
ObjectId("5d34a6786b361d34247c0e2a"),301,4,21,3834,19485,183,928,0,Fear,Fear+Anger,127684,1.23577,false,2.2648178230095364,2.968015713993642,3.583765368285,4.289722698213798,1.2,5.1061398808197245
ObjectId("5d34a6786b361d34247c0e2b"),155,13,11,0,38,0,3,0,Surprise,Surprise+Joy,9331,0.92229,false,0,0.6020599913279624,0,1.591064607026499,0.9,3.969974730121715
ObjectId("5d34a6786b361d34247c0e2c"),271,10,18,38619,210639,2146,11702,0,Fear,Fear+Joy,223142,1.16778,true,3.331832044436249,4.068297205031453,4.586812269443376,5.323540846098012,1.2,5.3485832675643765
ObjectId("5d34a6786b361d34247c0e2d"),285,1,20,576,3415,29,171,1,Joy,Joy+Fear,875,0.74952,false,1.4771212547196624,2.2355284469075487,2.7611758131557314,3.5335178620169674,0.7,2.9425041061680806
ObjectId("5d34a6786b361d34247c0e2e"),175,7,12,729,968,61,81,1,Fear,Fear+Joy,15980,0.80952,false,1.792391689498254,1.9138138523837167,2.863322860120456,2.986323777050765,0.8,4.203603951504492
ObjectId("5d34a6786b361d34247c0e2f"),294,4,21,635,4022,30,192,0,Disgust,Disgust+Fear,128002,1.13578,true,1.4913616938342726,2.285557309007774,2.803457115648414,3.6045500325712614,1.1,5.107220148305507
ObjectId("5d34a6786b361d34247c0e30"),235,8,16,1115,7029,70,439,0,Joy,Joy+Fear,69427,1.39652,false,1.8512583487190752,2.6434526764861874,3.04766419460156,3.846955325019824,1.4,4.841534654793146
ObjectId("5d34a6786b361d34247c0e31"),146,10,11,9303,24262,846,2206,0,Fear,Fear+Anger,290063,1.37454,true,2.9278834103307068,3.343802333161655,3.968669701720392,4.384944498216244,1.4,5.462493831624044
ObjectId("5d34a6786b361d34247c0e32"),323,4,23,728,629,32,27,9,Joy,Joy+Fear,35489,1.33976,false,1.5185139398778875,1.4471580313422192,2.8627275283179747,2.7993405494535817,1.3,4.5501059993475925
ObjectId("5d34a6786b361d34247c0e33"),28,7,5,4175,7653,835,1531,0,Joy,Joy+Fear,304637,1.41017,true,2.9222062774390163,3.185258765296585,3.620760489994206,3.8838884578884807,1.4,5.483784075497004
ObjectId("5d34a6786b361d34247c0e34"),379,4,33,10305,21497,312,651,9,Joy,Joy+Fear,17568,1.17527,false,2.4955443375464483,2.81424759573192,4.013090138125056,4.332398058549754,1.2,4.24474704283614
ObjectId("5d34a6786b361d34247c0e35"),171,4,12,2199,10254,183,854,1,Joy,Joy+Surprise,73161,1.24749,true,2.2648178230095364,2.931966114728173,3.342422680822206,4.010935664704385,1.2,4.864285569099234
ObjectId("5d34a6786b361d34247c0e36"),289,12,20,3312,10315,166,516,0,Joy,Joy+Surprise,6118,1.03599,false,2.2227164711475833,2.7134905430939424,3.52022143588196,4.0135113334659,1,3.7866804531966487
ObjectId("5d34a6786b361d34247c0e37"),147,0,11,10921,47671,993,4334,1,Disgust,Disgust+Anger,15032,0.95083,true,2.997386384397313,3.636989101812229,4.038302172199525,4.678263372416731,1,4.1770456574621395
ObjectId("5d34a6786b361d34247c0e38"),113,2,9,76,926,8,103,0,Fear,Fear+Joy,128002,1.13578,true,0.9542425094393249,2.0170333392987803,1.8864907251724818,2.967079734144497,1.1,5.107220148305507
ObjectId("5d34a6786b361d34247c0e39"),191,4,13,47184,147988,3630,11384,0,Joy,Joy+Fear,59721,1.01458,true,3.560026248912892,4.0563330349511615,4.673803959384559,5.170229435551429,1,4.776134343165844
ObjectId("5d34a6786b361d34247c0e3a"),153,4,11,369,1093,34,99,5,Fear,Fear+Joy,21384,1.41828,false,1.5440680443502757,2,2.568201724066995,3.039017321997412,1.4,4.33010925459283
ObjectId("5d34a6786b361d34247c0e3b"),252,6,17,16269,13359,957,786,0,Joy,Joy+Fear,34959,1.13491,true,2.9813655090785445,2.8959747323590648,4.211387552936859,4.125806458139527,1.1,4.543571423962366
ObjectId("5d34a6786b361d34247c0e3c"),19,7,5,674,708,135,142,3,Joy,Joy+Anger,10365,0.84063,true,2.1335389083702174,2.155336037465062,2.829303772831025,2.8506462351830666,0.8,4.015611204503513
ObjectId("5d34a6786b361d34247c0e3d"),295,4,21,11190,65033,533,3097,0,Joy,Joy+Fear,60591,1.06965,true,2.727541257028556,3.491081413423187,4.048868895739931,4.813140466671328,1.1,4.782415287776751
ObjectId("5d34a6786b361d34247c0e3e"),134,7,10,457,316,46,32,1,Joy,Joy+Disgust,8928,1.01194,false,1.6720978579357175,1.5185139398778875,2.660865478003869,2.5010592622177517,1,3.9508028229646586
ObjectId("5d34a6786b361d34247c0e3f"),177,2,13,34144,56562,2626,4351,0,Joy,Joy+Fear,197471,0.91678,true,3.4194600727860704,3.6386888866901237,4.533327117054424,4.752532435599553,0.9,5.295505524734293
ObjectId("5d34a6786b361d34247c0e40"),100,1,9,236,2104,26,234,0,Surprise,Surprise+Joy,29422,1.20337,true,1.4313637641589874,2.3710678622717363,2.374748346010104,3.323252100171687,1.2,4.468686951770906
ObjectId("5d34a6786b361d34247c0e41"),79,2,8,102410,382159,12801,47770,0,Fear,Fear+Joy,11994,0.89186,true,4.107277822859771,4.679164332552692,5.010346606861778,5.582245228275298,0.9,4.0790002523038495
ObjectId("5d34a6786b361d34247c0e42"),264,9,18,4215,6698,234,372,0,Joy,Joy+Fear,46037,1.1045,false,2.3710678622717363,2.571708831808688,3.62490060220449,3.8260099777911005,1.1,4.663116448584376
ObjectId("5d34a6786b361d34247c0e43"),179,3,12,44209,69548,3684,5796,1,Fear,Fear+Joy,1516,0.93286,false,3.56643749219507,3.7632033003707717,4.645520514905874,4.842290889934045,0.9,3.1809855807867304
ObjectId("5d34a6786b361d34247c0e44"),391,11,45,31870,81387,708,1809,0,Fear,Fear+Surprise,677357,2.2602,true,2.8506462351830666,3.2576785748691846,4.503395690322447,4.910560376412995,2.3,5.830818264446593
ObjectId("5d34a6786b361d34247c0e45"),107,9,9,892,3278,99,364,0,Joy,Joy+Sadness,10236,0.95752,false,2,2.5622928644564746,2.9508514588885464,3.515741416669365,1,4.010172703286779
ObjectId("5d34a6786b361d34247c0e46"),133,2,10,327040,1612234,32704,161223,0,Sadness,Sadness+Fear,267676,1.29389,false,4.514614153467984,5.207429691884283,5.51460220207181,6.207428345015469,1.3,5.4276110562739275
ObjectId("5d34a6786b361d34247c0e47"),325,0,24,2593,6934,108,289,7,Joy,Joy+Fear,46442,1.02214,true,2.037426497940624,2.462397997898956,3.4139699717480614,3.8410464654093035,1,4.666920265359489
ObjectId("5d34a6786b361d34247c0e48"),233,3,15,1041,2315,69,154,0,Fear,Fear+Anger,20855,1.31734,false,1.845098040014257,2.1903316981702914,3.0178677189635055,3.3647385550553985,1.3,4.319231018160273
ObjectId("5d34a6786b361d34247c0e49"),223,4,15,12725,70827,848,4722,0,Joy,Joy+Fear,12774,1.13205,false,2.928907690243953,3.6742179455767,4.104691918900206,4.85020497861574,1.1,4.10636090880675
ObjectId("5d34a6786b361d34247c0e4a"),330,10,25,15332,77828,613,3113,0,Fear,Fear+Joy,223142,1.16778,true,2.788168371141168,3.4933186082321015,4.185627135674899,4.8911414503733255,1.2,5.3485832675643765
